,prob
94,0.9554430246353149
95,0.04937455430626869
96,0.9847140908241272
97,0.48842301964759827
98,0.05490190163254738
99,0.024678988382220268
100,0.04393696412444115
101,0.9444400072097778
102,0.02278982661664486
103,0.9030746221542358
104,0.8776731491088867
105,0.8043275475502014
106,0.6629073023796082
107,0.9399822950363159
108,0.06778222322463989
109,0.26859015226364136
110,0.18452680110931396
111,0.07695029675960541
112,0.8767857551574707
113,0.9654014706611633
114,0.08133817464113235
115,0.3523254096508026
116,0.8296758532524109
117,0.9799901843070984
118,0.9702697992324829
119,0.9800746440887451
120,0.1238587275147438
121,0.05479024723172188
122,0.7834020256996155
123,0.98618084192276
124,0.227812260389328
125,0.6911891102790833
126,0.9133894443511963
127,0.8179685473442078
128,0.9724029302597046
129,0.8154784440994263
130,0.4587130546569824
131,0.9345784783363342
132,0.954708993434906
