,prob
94,0.7552635073661804
95,0.28401798009872437
96,0.8266906142234802
97,0.7635099291801453
98,0.300533652305603
99,0.2421458214521408
100,0.3424086570739746
101,0.7625670433044434
102,0.2469324916601181
103,0.7796557545661926
104,0.7204564809799194
105,0.7513431906700134
106,0.7284820079803467
107,0.7208876013755798
108,0.3432234823703766
109,0.4807157814502716
110,0.47209370136260986
111,0.5287197232246399
112,0.687474250793457
113,0.8407701253890991
114,0.38893046975135803
115,0.3839462995529175
116,0.6155651807785034
117,0.8347120881080627
118,0.8327421545982361
119,0.847256600856781
120,0.37649306654930115
121,0.360907644033432
122,0.7260833382606506
123,0.8966899514198303
124,0.4397593140602112
125,0.445020854473114
126,0.7016107439994812
127,0.7102239727973938
128,0.8774423599243164
129,0.621616542339325
130,0.5867088437080383
131,0.6016910672187805
132,0.8580583333969116
