,prob
94,0.9578843712806702
95,0.05556429922580719
96,0.9867171049118042
97,0.5476464629173279
98,0.06221489980816841
99,0.02666381374001503
100,0.04188301041722298
101,0.9101521968841553
102,0.023252427577972412
103,0.9395307898521423
104,0.8375492095947266
105,0.8405219316482544
106,0.8181596398353577
107,0.9461237788200378
108,0.07453516870737076
109,0.268332839012146
110,0.2663092017173767
111,0.08093851804733276
112,0.8535580635070801
113,0.966076672077179
114,0.10149573534727097
115,0.32194966077804565
116,0.8025370836257935
117,0.9792850017547607
118,0.967770516872406
119,0.9769569039344788
120,0.13671019673347473
121,0.06250578165054321
122,0.8482384085655212
123,0.9870993494987488
124,0.27084749937057495
125,0.7903104424476624
126,0.9278344511985779
127,0.916748583316803
128,0.9784606099128723
129,0.9152632355690002
130,0.4449094235897064
131,0.968874454498291
132,0.9658714532852173
