,prob
94,0.9927917718887329
95,0.017686840146780014
96,0.9958096742630005
97,0.2362840324640274
98,0.038511861115694046
99,0.01012316532433033
100,0.027272138744592667
101,0.9725281596183777
102,0.016080355271697044
103,0.9307773113250732
104,0.9587080478668213
105,0.9177951216697693
106,0.8044203519821167
107,0.9499726295471191
108,0.02909221686422825
109,0.24150677025318146
110,0.12833364307880402
111,0.02577197179198265
112,0.8750737905502319
113,0.986162543296814
114,0.029162343591451645
115,0.26055052876472473
116,0.9363887906074524
117,0.9907880425453186
118,0.9753797054290771
119,0.9952490329742432
120,0.23448297381401062
121,0.029366781935095787
122,0.907555103302002
123,0.9935757517814636
124,0.33396053314208984
125,0.9472751021385193
126,0.9781107306480408
127,0.898332953453064
128,0.9780896306037903
129,0.9249241352081299
130,0.23333106935024261
131,0.9943010807037354
132,0.984732449054718
