,prob
94,0.8128927946090698
95,0.19529086351394653
96,0.8996846079826355
97,0.7439495325088501
98,0.20666861534118652
99,0.15625572204589844
100,0.2226308435201645
101,0.7859346270561218
102,0.1598854660987854
103,0.8359243869781494
104,0.7402686476707458
105,0.7609116435050964
106,0.7400718927383423
107,0.7834910750389099
108,0.24512815475463867
109,0.4236493408679962
110,0.4536834955215454
111,0.42241695523262024
112,0.7362241744995117
113,0.8687745928764343
114,0.3113006353378296
115,0.3499557375907898
116,0.609468400478363
117,0.8803707957267761
118,0.8766635060310364
119,0.8689210414886475
120,0.30942729115486145
121,0.25716254115104675
122,0.7400792837142944
123,0.9294954538345337
124,0.3689698278903961
125,0.3826155662536621
126,0.7440418004989624
127,0.7576810121536255
128,0.9227668046951294
129,0.6423152685165405
130,0.5709250569343567
131,0.6052094101905823
132,0.8888136148452759
