,prob
94,0.9861105680465698
95,0.02188888192176819
96,0.9920570254325867
97,0.5498156547546387
98,0.043714944273233414
99,0.013412823900580406
100,0.029916249215602875
101,0.9648696780204773
102,0.020752858370542526
103,0.9402592778205872
104,0.9068268537521362
105,0.8601279854774475
106,0.8374466896057129
107,0.9619611501693726
108,0.044692590832710266
109,0.22504648566246033
110,0.09254671633243561
111,0.037166811525821686
112,0.769582211971283
113,0.9814640879631042
114,0.06356067210435867
115,0.22737082839012146
116,0.8798734545707703
117,0.988433301448822
118,0.9792501330375671
119,0.9863741397857666
120,0.1897580921649933
121,0.03712652251124382
122,0.8691017031669617
123,0.9936373233795166
124,0.1947655975818634
125,0.9484195709228516
126,0.9634475708007812
127,0.9092311859130859
128,0.9829099774360657
129,0.9330301284790039
130,0.28232964873313904
131,0.9937726855278015
132,0.9849927425384521
