,prob
94,0.9566001892089844
95,0.055955156683921814
96,0.9846755862236023
97,0.4973370134830475
98,0.061505116522312164
99,0.026140503585338593
100,0.05550704151391983
101,0.9235051274299622
102,0.029207363724708557
103,0.9311668276786804
104,0.9041951298713684
105,0.8219097256660461
106,0.8703339695930481
107,0.9331908822059631
108,0.07719574868679047
109,0.27377504110336304
110,0.3611008822917938
111,0.08669773489236832
112,0.8499747514724731
113,0.9644818902015686
114,0.10324932634830475
115,0.2773844301700592
116,0.8076267242431641
117,0.9776884317398071
118,0.9670531749725342
119,0.9741834402084351
120,0.13765160739421844
121,0.06255287677049637
122,0.8043003082275391
123,0.986457884311676
124,0.2276044487953186
125,0.8001946806907654
126,0.9184521436691284
127,0.8587198257446289
128,0.9767210483551025
129,0.9016461968421936
130,0.42904242873191833
131,0.955329954624176
132,0.9634225964546204
