,prob
94,0.8380266427993774
95,0.1215982586145401
96,0.9486245512962341
97,0.6885232329368591
98,0.124211385846138
99,0.07914604246616364
100,0.14013320207595825
101,0.854759156703949
102,0.0824713334441185
103,0.8732098340988159
104,0.717990517616272
105,0.7263210415840149
106,0.715516984462738
107,0.839574933052063
108,0.17720940709114075
109,0.36338090896606445
110,0.22295714914798737
111,0.28368982672691345
112,0.7063003778457642
113,0.913433313369751
114,0.24685566127300262
115,0.3574642241001129
116,0.7029321193695068
117,0.9370630383491516
118,0.934904158115387
119,0.9133914113044739
120,0.22639243304729462
121,0.15631680190563202
122,0.8192116022109985
123,0.9605433940887451
124,0.3193012773990631
125,0.31797486543655396
126,0.7977927923202515
127,0.7293849587440491
128,0.9545362591743469
129,0.7141635417938232
130,0.4774681031703949
131,0.6430065631866455
132,0.9230473041534424
